Tennis;Sports, Tennis;0;2016-05-01 20:00:00;660;Cable;TENN
Movie;Movies, Action;2;2016-05-02 01:00:00;150;Cable;BBC
Baseball;Sports, Baseball;0;2016-05-02 01:00:00;180;Cable;ESPNU
Golf;Sports, Golf;0;2016-05-02 01:00:00;270;Cable;GOLF
Movie;Movies, Suspense;3;2016-05-02 01:00:00;160;Cable;HBO3
Movie;Movies, Suspense;3;2016-05-02 01:00:00;125;Cable;INDI
Jewelry TV;Paid Program;0;2016-05-02 01:00:00;240;Broadcast;JTV
Movie;Movies, War;2;2016-05-02 01:00:00;150;Broadcast;WPCH
Movie;Movies, Drama;3;2016-05-02 01:00:00;140;Cable;STZECL
Movie;Movies, Horror;4;2016-05-02 01:00:00;180;Cable;SUND
Movie;Movies, Action;4;2016-05-02 01:00:00;180;Cable;SYFY
Lacrosse;Sports, Lacrosse;0;2016-05-02 01:00:00;150;Cable;TWCS
Movie;Movies, Action;2;2016-05-02 01:00:00;180;Cable;TV1
Movie;Movies, Drama;3;2016-05-02 01:15:00;135;Cable;SHO3
Movie;Movies, Action;2;2016-05-02 01:30:00;150;Cable;BET
Movie;Movies, Action;3;2016-05-02 01:30:00;150;Cable;FXX
Movie;Movies, Comedy;2;2016-05-02 01:30:00;95;Cable;SRZC
Return to Lonesome Dove;Drama;0;2016-05-02 01:35:00;95;Cable;STZEWS
Movie;Movies, Sci-Fi;2;2016-05-02 01:36:00;140;Cable;STZEFM
Movie;Movies, Sci-Fi;4;2016-05-02 01:40:00;110;Cable;MAX3
Movie;Movies, Comedy;0;2016-05-02 01:45:00;85;Cable;BYND
Movie;Movies, Adventure;2;2016-05-02 01:45:00;165;Cable;TBS
Movie;Movies, Action;2;2016-05-02 01:55:00;125;Cable;MAX7
The Johnny Carson Show;Comedy;0;2016-05-02 02:00:00;90;Broadcast;Antenna
Movie;Movies, Drama;1;2016-05-02 02:00:00;155;Cable;MAX1
Movie;Movies, Thriller;2;2016-05-02 02:00:00;150;Cable;COSMO
Movie;Movies, Documentary;0;2016-05-02 02:00:00;120;Cable;ESPNC
Local Programming;TBA;0;2016-05-02 02:00:00;600;Network;FOX
Movie;Movies, Comedy/Drama;3;2016-05-02 02:00:00;120;Cable;FREE
Movie;Movies, Action;2;2016-05-02 02:00:00;150;Cable;FUSE
Soccer;Sports, Soccer;0;2016-05-02 02:00:00;120;Cable;GOLTV
Movie;Movies, Comedy/Drama;2;2016-05-02 02:00:00;105;Cable;HBOC
Movie;Movies, Horror;0;2016-05-02 02:00:00;90;Cable;ZONE
Movie;Movies, Western;3;2016-05-02 02:00:00;120;Cable;INSP
Movie;Movies, Thriller;0;2016-05-02 02:00:00;120;Cable;LMN
101 Weapons That Changed the World;Documentary;0;2016-05-02 02:00:00;120;;MHC
Local Programming;TBA;0;2016-05-02 02:00:00;120;Broadcast;MNT
Boxing Classics;Sports, Boxing;0;2016-05-02 02:00:00;120;Cable;MSG
Soccer;Sports, Soccer;0;2016-05-02 02:00:00;120;Cable;MSG+
Movie;Movies, Comedy;2;2016-05-02 02:00:00;120;Cable;MTV
Softball;Sports, Softball;0;2016-05-02 02:00:00;120;Cable;PAC12
Movie;Movies, Action;3;2016-05-02 02:00:00;180;Cable;PIVOT
Movie;Movies, Comedy;2;2016-05-02 02:00:00;120;Cable;POP
Movie;Movies, Crime Story;0;2016-05-02 02:00:00;120;Cable;SHOWEX
Movie;Movies, Drama;2;2016-05-02 02:00:00;130;Cable;SHOFZ
Movie;Movies, Western;3;2016-05-02 02:00:00;180;Cable;SILVSC
Movie;Movies, Drama;3;2016-05-02 02:00:00;105;Cable;CINEMA
Movie;Movies, Horror;2;2016-05-02 02:00:00;100;Cable;STZEAC
Movie;Movies, Mystery;2;2016-05-02 02:00:00;105;Cable;STZEBK
Movie;Movies, Drama;4;2016-05-02 02:00:00;120;Cable;BSTZ
Movie;Movies, Religious;2;2016-05-02 02:00:00;180;Broadcast;TBN
Movie;Movies, Psycho-Drama;2;2016-05-02 02:00:00;110;Cable;HBO4
Movie;Movies, Romance;3;2016-05-02 02:00:00;120;Cable;TMC
Movie;Movies, Drama;4;2016-05-02 02:00:00;120;Cable;TCM
Movie;Movies, Action;2;2016-05-02 02:00:00;120;Broadcast;UniME
David Gilmour: Wider Horizons;Music;0;2016-05-02 02:00:00;90;Cable;VH1-C
Movie;Movies, Comedy/Drama;2;2016-05-02 02:00:00;120;Broadcast;YOUTOO
River Monsters;Animals;0;2016-05-02 02:04:00;61;Cable;ANPL
Movie;Movies, Comedy;3;2016-05-02 02:04:00;110;Cable;SRZK
Movie;Movies, Comedy/Drama;4;2016-05-02 02:05:00;120;Cable;HBO4
Movie;Movies, Comedy/Drama;0;2016-05-02 02:05:00;125;Cable;SHO-WE
Movie;Movies, Crime Story;3;2016-05-02 02:05:00;110;Cable;EDGE
Movie;Movies, Comedy;4;2016-05-02 02:10:00;100;Cable;RETRO
Movie;Movies, Sci-Fi;2;2016-05-02 02:10:00;140;Cable;TMCX
Movie;Movies, Comedy;2;2016-05-02 02:15:00;80;Cable;HBOF
Movie;Movies, Fantasy;2;2016-05-02 02:15:00;165;Cable;IFC
Movie;Movies, Comedy;0;2016-05-02 02:15:00;165;Cable;TNT
The Ultimate Fighter: Team Joanna vs. Team Claudia;Sports, Martial Arts;0;2016-05-02 02:30:00;60;Cable;FS1
Movie;Movies, Action;4;2016-05-02 02:30:00;150;Cable;FX
Plays of the Month;Sports, Baseball;0;2016-05-02 02:30:00;60;Cable;MLB
Movie;Movies, Comedy;2;2016-05-02 02:30:00;120;Cable;OVA
Movie;Movies, Documentary;0;2016-05-02 02:30:00;90;Cable;SHO2
Movie;Movies, Drama;2;2016-05-02 02:30:00;150;Cable;VH1
Movie;Movies, Family;2;2016-05-02 02:31:00;115;Cable;FXM
Movie;Movies, War;2;2016-05-02 02:35:00;120;Cable;FLIX
Movie;Movies, Drama, Drama;2;2016-05-02 02:35:00;115;Cable;HBO2
Movie;Movies, Drama;3;2016-05-02 02:35:00;130;Cable;STZENC
Movie;Movies, True Story;3;2016-05-02 02:40:00;115;Cable;PLEX
NHL Overtime;Sports, Hockey;0;2016-05-02 02:45:00;45;Cable;NBCSN
Shimmer and Shine;Children;0;2016-05-02 02:48:00;24;Cable;NICKJ
Movie;Movies, Comedy;2;2016-05-02 02:50:00;100;Cable;MAX2
Movie;Movies, Drama, Action;0;2016-05-02 02:55:00;125;;MGMHD
Local Programming;TBA;0;2016-05-02 03:00:00;540;Network;ABC
Forbidden History;History;0;2016-05-02 03:00:00;60;Cable;AHC
BBC World News;News;0;2016-05-02 03:00:00;30;Cable;BBCW
Cycling;Sports, Cycling;0;2016-05-02 03:00:00;120;Cable;beINS
Big Ten Icons;Sports, Miscellaneous;0;2016-05-02 03:00:00;30;Cable;B10
Asia Edge;Business;0;2016-05-02 03:00:00;60;Cable;BLM-US
The Garfield Show;Animated;0;2016-05-02 03:00:00;30;Cable;BOOM
Watch What Happens Live;Discussion;0;2016-05-02 03:00:00;30;Cable;BRAVO
Rick and Morty;Animated;0;2016-05-02 03:00:00;30;Cable;TOON
Local Programming;TBA;0;2016-05-02 03:00:00;540;Network;CBS
Off-Road Racing;Sports, Auto Racing;0;2016-05-02 03:00:00;60;Cable;CBSSN
Movie;Movies, Romance;3;2016-05-02 03:00:00;180;;CENT
The X-Files;Sci-Fi;0;2016-05-02 03:00:00;60;Cable;CHL
Movie;Movies;0;2016-05-02 03:00:00;110;Cable;CINEL
Fantasy Island;Drama;0;2016-05-02 03:00:00;60;Cable;CLOO
Steve Austin's Broken Skull Challenge;Reality TV;0;2016-05-02 03:00:00;60;Cable;CMTUS
Undercover Boss;Reality TV;0;2016-05-02 03:00:00;60;Cable;CNBC
United Shades Of America;Specials;0;2016-05-02 03:00:00;60;Cable;CNN
Chris Hardwick: Funcomfortable;Comedy, Specials;0;2016-05-02 03:00:00;64;Cable;COMC
The Outer Limits;Sci-Fi;0;2016-05-02 03:00:00;60;Broadcast;Comet
Quantum Leap;Sci-Fi;0;2016-05-02 03:00:00;60;Broadcast;COZI
Curious Traveler;Documentary;0;2016-05-02 03:00:00;30;Broadcast;CREATE
The Squad: Prison Police;Reality TV;0;2016-05-02 03:00:00;30;;CIN
Q & A;News Magazine;0;2016-05-02 03:00:00;60;Cable;CSPAN
Book TV;Discussion;0;2016-05-02 03:00:00;60;Cable;CSPAN2
Movie;Movies, Christmas, Comedy;2;2016-05-02 03:00:00;120;Broadcast;CW+
The Hal Lindsey Report;Religious, Religious;0;2016-05-02 03:00:00;30;Broadcast;DSTAR
The Phil Silvers Show;Sitcom;0;2016-05-02 03:00:00;30;Broadcast;Decades
Ghost Asylum;Documentary;0;2016-05-02 03:00:00;60;Cable;DEST
Blossom;Sitcom;0;2016-05-02 03:00:00;30;Cable;DFC
Untold Stories of the E.R.;Health;0;2016-05-02 03:00:00;60;Cable;DFL
Backstage;Children;0;2016-05-02 03:00:00;30;Cable;DISN
Goldie and Bear;Children;0;2016-05-02 03:00:00;30;Cable;DISNJR
Gravity Falls;Children;0;2016-05-02 03:00:00;30;Cable;DISNXD
Barnwood Builders;Home;0;2016-05-02 03:00:00;60;Cable;DIY
Keeping Up With the Kardashians;Reality TV;0;2016-05-02 03:00:00;60;Cable;E!
SportsCenter;Sports, News;0;2016-05-02 03:00:00;90;Cable;ESPN
SportsCenter;Sports, News;0;2016-05-02 03:00:00;90;Cable;ESPND
SportsCenter Top Ten;Sports, Miscellaneous;0;2016-05-02 03:00:00;30;Cable;ESPNN
SportsCenter Special;Sports, Miscellaneous;0;2016-05-02 03:00:00;30;Cable;ESPN2
The Getaway;Travel;0;2016-05-02 03:00:00;60;Cable;ESQTV
Fashion Must Haves;Paid Program;0;2016-05-02 03:00:00;60;Cable;EVINE
The Best of Mother Angelica Live;Religious;0;2016-05-02 03:00:00;60;Cable;EWTN
Cold Squad;Drama;0;2016-05-02 03:00:00;60;Broadcast;FAMUSA
Police Woman;Drama;0;2016-05-02 03:00:00;60;Broadcast;FAMN
Cooks vs. Cons;Food;0;2016-05-02 03:00:00;60;Cable;FOOD
Lou Dobbs Tonight;News;0;2016-05-02 03:00:00;60;Cable;FOXB
Fox Gol Mexico;Sports, Miscellaneous;0;2016-05-02 03:00:00;60;Cable;FOXD
Legends & Lies;Documentary;0;2016-05-02 03:00:00;60;Cable;FNC
Poker;Sports, Cards;0;2016-05-02 03:00:00;60;Cable;FSM
Flea Market Flip;Home;0;2016-05-02 03:00:00;30;Cable;GAC
Vecinos;Sitcom;0;2016-05-02 03:00:00;30;Broadcast;GALA
Baggage;Game Shows;0;2016-05-02 03:00:00;30;Cable;GSN
NYPD Blue;Drama;0;2016-05-02 03:00:00;60;Broadcast;H&I
The Golden Girls;Sitcom;0;2016-05-02 03:00:00;30;Cable;HALL
Movie;Movies, Mystery;0;2016-05-02 03:00:00;120;Cable;HMC
Last Week Tonight With John Oliver;Talk Shows;0;2016-05-02 03:00:00;30;Cable;HBO
El Hipnotizador;Drama;0;2016-05-02 03:00:00;60;Cable;HBOL
House Hunters;Home;0;2016-05-02 03:00:00;30;Cable;HGTV
Forensic Files;Docu-Series;0;2016-05-02 03:00:00;30;Cable;HLN
Joan Boyce;Shopping;0;2016-05-02 03:00:00;60;Broadcast;HSN
Dateline NBC;News Magazine;0;2016-05-02 03:00:00;60;Cable;ID
Flashpoint;Drama;0;2016-05-02 03:00:00;60;Broadcast;ION
Bring It!;Reality TV;0;2016-05-02 03:00:00;60;Cable;LIFERW
Saturday Night Live;Comedy;0;2016-05-02 03:00:00;60;Cable;LOGO
Camino a Santiago de Compostela;Religious;0;2016-05-02 03:00:00;120;Cable;MAR
Lockup;Documentary;0;2016-05-02 03:00:00;60;Cable;MSNBC
Martin;Sitcom;0;2016-05-02 03:00:00;30;Cable;MTV2
Live From Daryl's House;Music;0;2016-05-02 03:00:00;60;Cable;MTVL
Space Station Live;Science;0;2016-05-02 03:00:00;60;Broadcast;NASA1
The Story of God;Docu-Series;0;2016-05-02 03:00:00;60;Cable;NGEO
The Rise of Black Wolf;Documentary;0;2016-05-02 03:00:00;60;Cable;NGW
NBA GameTime;Sports, Basketball;0;2016-05-02 03:00:00;30;Cable;NBA
Local Programming;TBA;0;2016-05-02 03:00:00;180;Network;NBC
La Frontera;Documentary;0;2016-05-02 03:00:00;60;Cable;NBCUN
NFL Total Access;Sports, Football;0;2016-05-02 03:00:00;120;Cable;NFLN
Friends;Sitcom;0;2016-05-02 03:00:00;30;Cable;NTOO
Friends;Sitcom;0;2016-05-02 03:00:00;30;Cable;NICK
Harvey Beaks;Animated;0;2016-05-02 03:00:00;30;Cable;NICK
Undercover Boss;Reality TV;0;2016-05-02 03:00:00;60;Cable;OWN
Team Elk;Sports, Outdoors;0;2016-05-02 03:00:00;30;Cable;OUT
Snapped: Killer Couples;Biography;0;2016-05-02 03:00:00;60;Cable;OXY
PBS Previews;Documentary;0;2016-05-02 03:00:00;30;Broadcast;PBSHD
Independent Lens;Documentary;0;2016-05-02 03:00:00;60;Broadcast;World
Fido & Wine;Animals;0;2016-05-02 03:00:00;30;Cable;PET
Anne of Green Gables: The Animated Series;Children, Animated;0;2016-05-02 03:00:00;30;Broadcast;QUBO
Movie;Movies, Action;2;2016-05-02 03:00:00;120;Cable;REELZ
Georgia Farm Monitor;Business;0;2016-05-02 03:00:00;30;Cable;RFD
Penny Dreadful;Drama;0;2016-05-02 03:00:00;60;Cable;SHO
Brad Williams: Fun Size;Comedy;0;2016-05-02 03:00:00;60;Cable;NEXT
Bar Rescue;Reality TV;0;2016-05-02 03:00:00;60;Cable;SPIKE
Floogals;Children;0;2016-05-02 03:00:00;20;Broadcast;SPRT
Movie;Movies, Comedy;2;2016-05-02 03:00:00;105;Cable;STARZ
Movie;Movies, Suspense;2;2016-05-02 03:00:00;105;Cable;STZESU
Hawaii Voices of Civil Rights;Instructional;0;2016-05-02 03:00:00;35;Cable;TEACH
All Grown Up;Children, Animated;0;2016-05-02 03:00:00;30;Cable;TNICK
Titulares Telemundo;Sports, News;0;2016-05-02 03:00:00;30;Broadcast;MUN
Carnival Eats;Food;0;2016-05-02 03:00:00;30;Cable;COOK
Tornado Alley;Science;0;2016-05-02 03:00:00;60;Cable;WEA
Mysteries at the Museum;Documentary;0;2016-05-02 03:00:00;60;Cable;TRAVEL
The King of Queens;Sitcom;0;2016-05-02 03:00:00;30;Cable;TVLAND
Durmiendo con mi jefe;Comedy;0;2016-05-02 03:00:00;30;Broadcast;UNI
Fantomworks;Documentary;0;2016-05-02 03:00:00;60;Cable;VELO
NOISEY;Music;0;2016-05-02 03:00:00;30;Cable;VICE
Interpol Investigates;Documentary;0;2016-05-02 03:00:00;60;Broadcast;V-ME
CSI: Miami;Drama;0;2016-05-02 03:00:00;60;Cable;WE
Yankees Extra Innings;Sports, Baseball;0;2016-05-02 03:00:00;30;Cable;YES
Fear the Walking Dead;Drama;0;2016-05-02 03:01:00;61;Cable;AMC
Trailblazers;Docu-Series;0;2016-05-02 03:01:00;60;Cable;DISC
Tiny House World;Home;0;2016-05-02 03:01:00;30;Cable;FYI
Comedy Knockout;Comedy;0;2016-05-02 03:01:00;30;Cable;TRUTV-HD
Law & Order: Special Victims Unit;Drama;0;2016-05-02 03:01:00;60;Cable;USA
The First 48;Reality TV;0;2016-05-02 03:02:00;61;Cable;A&E
Movie;Movies, Drama;0;2016-05-02 03:02:00;120;Cable;LIFE
MythBusters;Science;0;2016-05-02 03:02:00;60;Cable;SCI
Who Do You Think You Are?;Documentary;0;2016-05-02 03:02:00;60;Cable;TLC
Top Gear;Documentary;0;2016-05-02 03:03:00;58;Cable;HIST
Fish or Die;Reality TV;0;2016-05-02 03:05:00;61;Cable;ANPL
Movie;Movies, Drama;4;2016-05-02 03:05:00;105;Cable;INDI
Movie;Movies, Comedy;2;2016-05-02 03:05:00;85;Cable;SRZC
Movie;Movies, Comedy;0;2016-05-02 03:10:00;90;Cable;BYND
Movie;Movies, Western;4;2016-05-02 03:10:00;130;Cable;STZEWS
Shimmer and Shine;Children;0;2016-05-02 03:12:00;24;Cable;NICKJ
Lily's Driftwood Bay;Children;0;2016-05-02 03:20:00;20;Broadcast;SPRT
Movie;Movies, Sci-Fi;3;2016-05-02 03:20:00;120;Cable;STZECL
Movie;Movies, Horror;1;2016-05-02 03:30:00;90;Cable;MAX3
Three's Company;Sitcom;0;2016-05-02 03:30:00;30;Broadcast;Antenna
Movie;Movies, Sci-Fi, Romance;3;2016-05-02 03:30:00;150;Cable;BBC
HARDtalk;Discussion;0;2016-05-02 03:30:00;30;Cable;BBCW
This Week in the Big Ten;Sports, News;0;2016-05-02 03:30:00;30;Cable;B10
The Garfield Show;Animated;0;2016-05-02 03:30:00;30;Cable;BOOM
Shahs of Sunset;Reality TV;0;2016-05-02 03:30:00;61;Cable;BRAVO
Robot Chicken;Animated;0;2016-05-02 03:30:00;15;Cable;TOON
Martha Bakes;Food;0;2016-05-02 03:30:00;30;Broadcast;CREATE
